,district,price,address,AdUpdateDate,Category,GrossSquareMeters,BuildingAge,NumberFloorsofBuilding,UsingStatus,EligibilityForInvestment,BuildStatus,TitleStatus,ItemStatus,NumberOfBathrooms,NumberOfWCs,AdCreationDate,Type,NetSquareMeters,NumberOfRooms,FloorLocation,HeatingType,CreditEligibility,InsideTheSite,StructureType,MortgageStatus,Swap,Balcony,PriceStatus,RentalIncome,NumberOfBalconies,BalconyType,HallSquareMeters,WCSquareMeters,IsItVideoNavigable?,Subscription,BathroomSquareMeters,BalconySquareMeters
1213,avcilar,"495,000TLarrow_downward%5","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Üniversite Mahallesi Satılık Daire']",21 Şubat 2022,Satılık,85 m2,21 Ve Üzeri,4,Kiracı Oturuyor,Bilinmiyor,İkinci El,,,1,,27 Aralık 2021,Konut,76 m2,2+1,1. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,,Yok,,Genel Fiyat,,,,,,,,,
1214,avcilar,"1,500,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Denizköşkler Mahallesi Satılık Daire']",25 Aralık 2021,Satılık,280 m2,4,4,Boş,Bilinmiyor,,,Boş,3,,25 Aralık 2021,Konut,250 m2,3+1,4. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1215,avcilar,"800,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Denizköşkler Mahallesi Satılık Daire']",30 Aralık 2021,Satılık,139 m2,21 Ve Üzeri,7,Kiracı Oturuyor,Bilinmiyor,,,Boş,2,,25 Aralık 2021,Konut,127 m2,2+1,1. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1216,avcilar,"800,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",19 Şubat 2022,Satılık,105 m2,5-10,3,Boş,,,,,1,,26 Aralık 2021,Konut,100 m2,2+1,Çatı Katı,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,,Genel Fiyat,,,,,,,,,
1217,avcilar,"4,000,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Ambarlı Mahallesi Satılık Daire']",25 Aralık 2021,Satılık,300 m2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,2,,25 Aralık 2021,Konut,280 m2,5+2,4. Kat,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1218,avcilar,"645,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Mustafa Kemal Paşa Mahallesi Satılık Daire']",01 Şubat 2022,Satılık,130 m2,0 (Yeni),5,Boş,Bilinmiyor,,,Boş,2,,25 Aralık 2021,Konut,120 m2,3+1,3. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Var,,Genel Fiyat,,,,,,,,,
1219,avcilar,"485,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",01 Şubat 2022,Satılık,113 m2,0 (Yeni),5,Boş,Bilinmiyor,,,Boş,2,,25 Aralık 2021,Konut,103 m2,2+1,3. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Var,,Genel Fiyat,,,,,,,,,
1220,avcilar,"555,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",01 Şubat 2022,Satılık,150 m2,0 (Yeni),5,Boş,Bilinmiyor,,,Boş,2,,25 Aralık 2021,Konut,140 m2,4+1,2. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Var,,Genel Fiyat,,,,,,,,,
1221,avcilar,"410,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",01 Şubat 2022,Satılık,120 m2,1,7,Boş,Bilinmiyor,,Yok,Boş,2,,25 Aralık 2021,Konut,110 m2,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Var,,Genel Fiyat,,,,,,,,,
1222,avcilar,"5,750,000TL","['Anasayfa', 'Satılık Bina', 'İstanbul Satılık Bina', 'Avcılar Satılık Bina', 'Üniversite Mahallesi Satılık Bina']",02 Şubat 2022,Satılık,216 m2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,,,,,1,,25 Aralık 2021,Konut,120 m2,3+1,4. Kat,Kombi Doğalgaz,Bilinmiyor,Hayır,,,,,Birim Fiyat,,,,,,,,,
1223,avcilar,"865,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",14 Şubat 2022,Satılık,105 m2,5-10,3,Boş,Bilinmiyor,,,Eşyalı,1,,25 Aralık 2021,Konut,100 m2,2+1,1. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1224,avcilar,"755,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Mustafa Kemal Paşa Mahallesi Satılık Daire']",24 Aralık 2021,Satılık,105 m2,0 (Yeni),5,Boş,Yatırıma Uygun,Sıfır,,,1,,24 Aralık 2021,Konut,95 m2,2+1,1. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,,Var,Var,Genel Fiyat,,,,,,Hayır,30 TL,,
1225,avcilar,"875,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",24 Aralık 2021,Satılık,105 m2,0 (Yeni),5,Boş,Yatırıma Uygun,Sıfır,,,1,,24 Aralık 2021,Konut,95 m2,2+1,2. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,,Var,Var,Genel Fiyat,,,,,,Hayır,30 TL,,
1226,avcilar,"788,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Merkez Mahallesi Satılık Daire']",24 Aralık 2021,Satılık,105 m2,0 (Yeni),5,Boş,Yatırıma Uygun,Sıfır,,,1,,24 Aralık 2021,Konut,95 m2,2+1,5. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,,Var,,Genel Fiyat,,,,,,Hayır,30 TL,,
1227,avcilar,"16,500,000TL","['Anasayfa', 'Satılık Bina', 'İstanbul Satılık Bina', 'Avcılar Satılık Bina', 'Mustafa Kemal Paşa Mahallesi Satılık Bina']",27 Aralık 2021,Satılık,1.651 m2,21 Ve Üzeri,6,Boş,Bilinmiyor,,Yok,,Yok,,23 Aralık 2021,Konut,1.650 m2,8+ Oda,Düz Giriş,Merkezi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1228,avcilar,"1,350,000TLarrow_downward%7","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Denizköşkler Mahallesi Satılık Daire']",20 Ocak 2022,Satılık,110 m2,0 (Yeni),5,Boş,Yatırıma Uygun,,Kat Mülkiyeti,Boş,1,,24 Aralık 2021,Konut,100 m2,3+1,4. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Yok,Var,Genel Fiyat,6.500 TL,,,,,Evet,30 TL,,
1229,avcilar,"1,750,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Mustafa Kemal Paşa Mahallesi Satılık Daire']",23 Şubat 2022,Satılık,225 m2,0 (Yeni),4,Boş,Yatırıma Uygun,Sıfır,Kat Mülkiyeti,Boş,2,2,23 Aralık 2021,Konut,190 m2,4+1,4. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Var,Var,Genel Fiyat,5.000 TL,2,Açık Teras,,,Evet,50 TL,5 m2,5 m2
1230,avcilar,"585,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Gümüşpala Mahallesi Satılık Daire']",23 Aralık 2021,Satılık,130 m2,21 Ve Üzeri,4,Kiracı Oturuyor,Bilinmiyor,İkinci El,Kat İrtifakı,Boş,1,1,23 Aralık 2021,Konut,110 m2,2+1,4. Kat,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,,Yok,Yok,Var,Genel Fiyat,,1,Açık Balkon,,,Hayır,40 TL,,
1231,avcilar,"690,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",23 Aralık 2021,Satılık,90 m2,5-10,4,Kiracı Oturuyor,,İkinci El,Kat Mülkiyeti,Boş,1,1,23 Aralık 2021,Konut,80 m2,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Yok,Yok,Genel Fiyat,3.000 TL,,,,,,30 TL,,
1232,avcilar,"430,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",23 Aralık 2021,Satılık,80 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,İkinci El,Hisseli Tapu,Boş,1,1,23 Aralık 2021,Konut,70 m2,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,,Yok,Yok,Var,Genel Fiyat,,1,Fransız Balkon,,,Hayır,40 TL,,
1233,avcilar,"1,400,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Gümüşpala Mahallesi Satılık Daire']",23 Aralık 2021,Satılık,108 m2,0 (Yeni),6,Boş,Yatırıma Uygun,Sıfır,Kat Mülkiyeti,Boş,1,2,22 Aralık 2021,Konut,92 m2,3+1,5. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Yok,Var,Genel Fiyat,,1,Açık Balkon,,,Evet,,,
1234,avcilar,"1,150,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",21 Ocak 2022,Satılık,135 m2,11-15,4,Kiracı Oturuyor,Yatırıma Uygun,Sıfır,Kat Mülkiyeti,Boş,1,2,21 Aralık 2021,Konut,125 m2,3+1,1. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Yok,Var,Genel Fiyat,4.500 TL,1,Kapalı Balkon,,,,30 TL,,
1235,avcilar,"1,900,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Ambarlı Mahallesi Satılık Daire']",22 Aralık 2021,Satılık,160 m2,5-10,5,Boş,,,,Boş,2,,22 Aralık 2021,Konut,150 m2,4+1,5. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,Var,Genel Fiyat,7.000 TL,2,,,,,70 TL,,
1236,avcilar,"1,300,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Mustafa Kemal Paşa Mahallesi Satılık Daire']",21 Aralık 2021,Satılık,200 m2,5-10,4,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,2,,21 Aralık 2021,Konut,190 m2,3+2,4. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1237,avcilar,"650,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Denizköşkler Mahallesi Satılık Daire']",23 Aralık 2021,Satılık,150 m2,21 Ve Üzeri,4,Kiracı Oturuyor,Bilinmiyor,,Yok,Boş,1,,21 Aralık 2021,Konut,130 m2,3+1,Düz Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1238,avcilar,"740,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",04 Ocak 2022,Satılık,140 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,,,,1,,21 Aralık 2021,Konut,125 m2,3+1,3. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,,Genel Fiyat,,,,,,,,,
1239,avcilar,"490,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",21 Ocak 2022,Satılık,120 m2,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,Yatırıma Uygun Değil,İkinci El,,Boş,1,1,20 Aralık 2021,Konut,110 m2,2+1,5. Kat,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,Betonarme,Yok,Yok,Yok,Genel Fiyat,3.000 TL,,,,,,30 TL,,
1240,avcilar,"720,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Ambarlı Mahallesi Satılık Daire']",28 Şubat 2022,Satılık,145 m2,21 Ve Üzeri,5,Boş,,,,,1,,21 Aralık 2021,Konut,130 m2,3+1,2. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,Var,Genel Fiyat,3.000 TL,4 +,Açık Balkon,,,,,,
1241,avcilar,"730,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Mustafa Kemal Paşa Mahallesi Satılık Daire']",20 Aralık 2021,Satılık,105 m2,0 (Yeni),5,Boş,Yatırıma Uygun,Sıfır,,,1,,20 Aralık 2021,Konut,95 m2,2+1,3. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,,Var,Var,Genel Fiyat,,,,,,Hayır,30 TL,,
1242,avcilar,"782,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",20 Aralık 2021,Satılık,105 m2,0 (Yeni),5,Boş,Yatırıma Uygun,Sıfır,,,1,,20 Aralık 2021,Konut,95 m2,2+1,3. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,,Var,Var,Genel Fiyat,,,,,,Hayır,30 TL,,
1243,avcilar,"805,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Merkez Mahallesi Satılık Daire']",20 Aralık 2021,Satılık,105 m2,0 (Yeni),5,Boş,Yatırıma Uygun,Sıfır,,,1,,20 Aralık 2021,Konut,95 m2,2+1,5. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,,Var,Var,Genel Fiyat,,,,,,Hayır,30 TL,,
1244,avcilar,"1,150,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Gümüşpala Mahallesi Satılık Daire']",03 Ocak 2022,Satılık,130 m2,11-15,4,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,1,,20 Aralık 2021,Konut,120 m2,3+1,2. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1245,avcilar,"1,050,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Mustafa Kemal Paşa Mahallesi Satılık Daire']",03 Ocak 2022,Satılık,190 m2,5-10,4,Kiracı Oturuyor,Bilinmiyor,,,Boş,2,,20 Aralık 2021,Konut,185 m2,4+1,4. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1246,avcilar,"520,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",03 Ocak 2022,Satılık,115 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Bilinmiyor,,Hisseli Tapu,Boş,1,,20 Aralık 2021,Konut,105 m2,3+1,3. Kat,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1247,avcilar,"830,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Ambarlı Mahallesi Satılık Daire']",03 Ocak 2022,Satılık,230 m2,21 Ve Üzeri,4,Boş,Bilinmiyor,,,Boş,1,,20 Aralık 2021,Konut,200 m2,5+1,Çatı Katı,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1248,avcilar,"1,400,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",03 Ocak 2022,Satılık,150 m2,0 (Yeni),3,Boş,Bilinmiyor,,,Boş,2,,20 Aralık 2021,Konut,125 m2,5+2,3. Kat,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1249,avcilar,"530,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",03 Ocak 2022,Satılık,110 m2,21 Ve Üzeri,4,Kiracı Oturuyor,Bilinmiyor,,,Boş,1,,20 Aralık 2021,Konut,100 m2,2+1,3. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1250,avcilar,"1,450,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Yeşilkent Mahallesi Satılık Daire']",14 Şubat 2022,Satılık,130 m2,5-10,25,Mülk Sahibi Oturuyor,,,,,1,,19 Aralık 2021,Konut,102 m2,2+1,22. Kat,Merkezi Doğalgaz,Krediye Uygun,Evet,,,,,Genel Fiyat,8.000 TL,,,,,,,,
1251,avcilar,"610,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Denizköşkler Mahallesi Satılık Daire']",19 Aralık 2021,Satılık,125 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,İkinci El,Kat Mülkiyeti,Boş,1,1,19 Aralık 2021,Konut,120 m2,3+1,Düz Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Yok,Var,Genel Fiyat,,,,,,Evet,,,
1252,avcilar,"1,790,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Denizköşkler Mahallesi Satılık Daire']",18 Aralık 2021,Satılık,220 m2,0 (Yeni),5,Boş,Yatırıma Uygun,Sıfır,Kat Mülkiyeti,Boş,2,,18 Aralık 2021,Konut,210 m2,4+2,5. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Yok,Var,Genel Fiyat,10.000 TL,3,Açık Teras,,,Evet,35 TL,,
1253,avcilar,"450,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Ambarlı Mahallesi Satılık Daire']",18 Aralık 2021,Satılık,130 m2,16-20,4,Mülk Sahibi Oturuyor,,,,,2,,18 Aralık 2021,Konut,115 m2,3+1,Bahçe Dublex,Kombi Doğalgaz,Krediye Uygun,Hayır,,,,Var,Genel Fiyat,2.500 TL,,,,,,,,
1254,avcilar,"400,000TLarrow_downward%12","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",12 Ocak 2022,Satılık,130 m2,16-20,6,Kiracı Oturuyor,Yatırıma Uygun,İkinci El,Arsa,Boş,1,2,18 Aralık 2021,Konut,125 m2,3+1,3. Kat,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,Betonarme,Yok,Yok,Var,Genel Fiyat,3.000 TL,,,,,Evet,25 TL,,
1255,avcilar,"890,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Merkez Mahallesi Satılık Daire']",19 Aralık 2021,Satılık,105 m2,0 (Yeni),5,Boş,Yatırıma Uygun,,,,1,,17 Aralık 2021,Konut,95 m2,2+1,4. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,,Var,Var,Genel Fiyat,,,,,,Hayır,30 TL,,
1256,avcilar,"798,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",19 Aralık 2021,Satılık,105 m2,0 (Yeni),5,Boş,Yatırıma Uygun,Sıfır,,,1,1,17 Aralık 2021,Konut,95 m2,2+1,3. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,,Var,,Genel Fiyat,,,,,,Hayır,30 TL,,
1257,avcilar,"590,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Gümüşpala Mahallesi Satılık Daire']",17 Aralık 2021,Satılık,125 m2,21 Ve Üzeri,7,Kiracı Oturuyor,Yatırıma Uygun,İkinci El,Arsa,Boş,1,,17 Aralık 2021,Konut,120 m2,2+1,7. Kat,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,Betonarme,Yok,Yok,Var,Genel Fiyat,4.000 TL,,Açık Balkon,,,,20 TL,,
1258,avcilar,"1,800,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Tahtakale Mahallesi Satılık Daire']",17 Aralık 2021,Satılık,144 m2,4,17,Boş,Bilinmiyor,,,Boş,2,,17 Aralık 2021,Konut,110 m2,3+1,9. Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1259,avcilar,"1,500,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Tahtakale Mahallesi Satılık Daire']",17 Aralık 2021,Satılık,124 m2,5-10,12,Boş,Bilinmiyor,,,Boş,1,,17 Aralık 2021,Konut,90 m2,2+1,4. Kat,Merkezi (Pay Ölçer),Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1260,avcilar,"1,950,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Tahtakale Mahallesi Satılık Daire']",17 Aralık 2021,Satılık,116 m2,5-10,18,Mülk Sahibi Oturuyor,Yatırıma Uygun,,Kat Mülkiyeti,,1,,17 Aralık 2021,Konut,100 m2,2+1,6. Kat,Merkezi Doğalgaz,Krediye Uygun,Evet,Betonarme,Yok,Yok,Var,Genel Fiyat,,,,,,Evet,,,
1261,avcilar,"1,930,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Merkez Mahallesi Satılık Daire']",16 Aralık 2021,Satılık,190 m2,0 (Yeni),4,Boş,Yatırıma Uygun,İkinci El,Kat Mülkiyeti,Boş,2,,16 Aralık 2021,Konut,185 m2,4+2,4. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,,,Genel Fiyat,10.000 TL,,,,,,35 TL,,
1262,avcilar,"530,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",16 Aralık 2021,Satılık,75 m2,0 (Yeni),3,Boş,Yatırıma Uygun,Sıfır,Kat Mülkiyeti,Boş,1,1,16 Aralık 2021,Konut,65 m2,1+1,Düz Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Yok,Yok,Genel Fiyat,3.000 TL,,,,,,50 TL,,
1263,avcilar,"475,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",04 Ocak 2022,Satılık,130 m2,21 Ve Üzeri,4,Kiracı Oturuyor,,,,,1,,17 Aralık 2021,Konut,120 m2,3+1,1. Kat,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,,,,,Genel Fiyat,,,,,,,,,
1264,avcilar,"670,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",14 Şubat 2022,Satılık,80 m2,5-10,5,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,1,,17 Aralık 2021,Konut,70 m2,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
1265,avcilar,"880,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Ambarlı Mahallesi Satılık Daire']",16 Aralık 2021,Satılık,120 m2,21 Ve Üzeri,4,Kiracı Oturuyor,Yatırıma Uygun,İkinci El,Kat Mülkiyeti,Boş,1,,16 Aralık 2021,Konut,100 m2,4+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Yok,,Genel Fiyat,4.500 TL,,,,,,30 TL,,
1266,avcilar,"745,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Merkez Mahallesi Satılık Daire']",19 Aralık 2021,Satılık,105 m2,0 (Yeni),5,Boş,Bilinmiyor,,,Boş,1,,16 Aralık 2021,Konut,95 m2,2+1,2. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Var,,Genel Fiyat,,,,,,,,,
1267,avcilar,"700,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Cihangir Mahallesi Satılık Daire']",19 Aralık 2021,Satılık,105 m2,0 (Yeni),5,Boş,Bilinmiyor,,,Boş,1,,16 Aralık 2021,Konut,95 m2,2+1,3. Kat,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Var,,Genel Fiyat,,,,,,,,,
1268,avcilar,"650,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Mustafa Kemal Paşa Mahallesi Satılık Daire']",16 Aralık 2021,Satılık,100 m2,0 (Yeni),5,Boş,Yatırıma Uygun,Sıfır,Kat Mülkiyeti,Boş,1,1,16 Aralık 2021,Konut,85 m2,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,Hayır,Betonarme,Yok,Yok,Yok,Genel Fiyat,3.000 TL,,,,,,50 TL,,
1269,avcilar,"700,000TL","['Anasayfa', 'Satılık Daire', 'İstanbul Satılık Daire', 'Avcılar Satılık Daire', 'Ambarlı Mahallesi Satılık Daire']",03 Ocak 2022,Satılık,140 m2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Bilinmiyor,,,Boş,1,,15 Aralık 2021,Konut,130 m2,3+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,Hayır,,,Yok,,Genel Fiyat,,,,,,,,,
